Date,Product,Category,Qty,Price,Amount
01-08-2026,Notebook,Stationery,10,40,400
01-08-2026,Pen Set,Stationery,15,60,900
01-08-2026,Wireless Mouse,Electronics,3,650,1950
02-08-2026,USB Cable,Electronics,8,150,1200
02-08-2026,Notebook,Stationery,5,40,200
02-08-2026,Water Bottle,Home,4,250,1000
03-08-2026,Backpack,Accessories,2,1200,2400
03-08-2026,Pen Set,Stationery,10,60,600
03-08-2026,Wireless Mouse,Electronics,2,650,1300
04-08-2026,Notebook,Stationery,12,40,480
04-08-2026,Table Lamp,Home,3,700,2100
04-08-2026,USB Cable,Electronics,6,150,900
05-08-2026,Backpack,Accessories,1,1200,1200
05-08-2026,Water Bottle,Home,7,250,1750
05-08-2026,Pen Set,Stationery,8,60,480
06-08-2026,Wireless Mouse,Electronics,4,650,2600
06-08-2026,Notebook,Stationery,9,40,360
06-08-2026,Table Lamp,Home,2,700,1400
07-08-2026,USB Cable,Electronics,10,150,1500
07-08-2026,Backpack,Accessories,3,1200,3600
08-08-2026,Water Bottle,Home,5,250,1250
08-08-2026,Pen Set,Stationery,12,60,720
08-08-2026,Notebook,Stationery,6,40,240
09-08-2026,Wireless Mouse,Electronics,5,650,3250
09-08-2026,Table Lamp,Home,1,700,700
10-08-2026,USB Cable,Electronics,7,150,1050
10-08-2026,Backpack,Accessories,2,1200,2400
11-08-2026,Notebook,Stationery,14,40,560
11-08-2026,Water Bottle,Home,3,250,750
12-08-2026,Pen Set,Stationery,9,60,540
12-08-2026,Wireless Mouse,Electronics,6,650,3900
13-08-2026,Table Lamp,Home,4,700,2800
13-08-2026,USB Cable,Electronics,5,150,750
14-08-2026,Backpack,Accessories,1,1200,1200
14-08-2026,Notebook,Stationery,7,40,280
15-08-2026,Water Bottle,Home,6,250,1500
15-08-2026,Pen Set,Stationery,11,60,660
16-08-2026,Wireless Mouse,Electronics,3,650,1950
16-08-2026,Table Lamp,Home,2,700,1400
17-08-2026,USB Cable,Electronics,9,150,1350
17-08-2026,Backpack,Accessories,4,1200,4800
18-08-2026,Notebook,Stationery,8,40,320
18-08-2026,Water Bottle,Home,5,250,1250
19-08-2026,Pen Set,Stationery,6,60,360
19-08-2026,Wireless Mouse,Electronics,2,650,1300
20-08-2026,Table Lamp,Home,3,700,2100
20-08-2026,USB Cable,Electronics,4,150,600
21-08-2026,Backpack,Accessories,2,1200,2400
21-08-2026,Notebook,Stationery,10,40,400
